ID,Name,Node,Latitude,Longitude,Technology,Fuel,Commissioning,Capacity,Efficiency,Emission,Transport,Electrical Storage,CHP technology,CHP network,Power to heat factor,Electricity reduction,Max. heat 
BNA0449,KW Herne,92,51.55,7.19,Steam turbine,Hard coal,1966,280,0.398,0.856,2.47,0,,,,,
BNA0450,KW Herne,92,51.55,7.19,Steam turbine,Hard coal,1989,449,0.458,0.743,2.15,0,EXT,DH_DE_Ruhr,0.48,0.15,550
BNA0464,KWM,381,52.32,10.09,Steam turbine,Hard coal,1979,690,0.433,0.786,1.14,0,,,,,
BNA0485,Huckingen,100,51.37,6.72,Combined cycle,Other fuels,1975,303,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.45,0.15,155
BNA0486,Huckingen,100,51.37,6.72,Combined cycle,Other fuels,1976,303,0.330,0.000,0.00,0,,0,,,
BNA0490a,Goldenberg,168,50.86,6.84,Steam turbine,Lignite,1993,40,0.383,0.948,0.00,0,BKP,DH_DE_Rem,0.38,,105
BNA0490b,Goldenberg,168,50.86,6.84,Steam turbine,Lignite,1993,45,0.383,0.948,0.00,0,,,,,
BNA0491,Ville/Berrenrath,168,50.86,6.84,Steam turbine,Lignite,1991,52,0.378,0.960,0.00,0,BKP,DH_DE_Rem,0.38,,137
BNA0492,RAG Anthrazit Ibbenbüren GmbH,440,52.29,7.75,Steam turbine,Other fuels,1985,33.4,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.34,0.15,68
BNA0493,Ibbenbüren,440,52.29,7.75,Steam turbine,Hard coal,1985,794,0.448,0.760,1.65,0,,,,,
BNA0497,ADS-Anlage,31,50.09,8.53,Gas turbine,Natural gas,2012,96.5,0.411,0.491,0.00,0,EXT,DH_DE_Ind,0.60,0.17,126
BNA0498,Heizkraftwerk,31,50.09,8.53,Combined cycle,Hard coal,1989,66,0.491,0.693,3.01,0,EXT,DH_DE_Ind,0.48,0.15,105
BNA0499,Heizkraftwerk,31,50.09,8.53,Combined cycle,Natural gas,2003,86,0.554,0.365,0.00,0,EXT,DH_DE_Ind,0.27,0.15,204
BNA0504,HKW Jena,334,50.90,11.59,Combined cycle,Natural gas,1996,182,0.522,0.387,0.00,0,BKP,DH_DE_Rem,0.81,,225
BNA0510a,HKW Karcherstr.,243,49.43,7.76,Steam turbine,Natural gas,1989,11.6,0.373,0.541,0.00,0,BKP,DH_DE_Ind,0.65,,18
BNA0510b,HKW Karcherstr.,243,49.43,7.76,Steam turbine,Hard coal,1996,13.4,0.415,0.820,3.55,0,EXT,DH_DE_Rem,0.52,0.15,20
BNA0514,Rheinhafen-Dampfkraftwerk,264,49.01,8.30,Combined cycle,Natural gas,1998,353,0.531,0.380,0.00,0,,,,,
BNA0515,Heizkraftwerk West,263,49.01,8.35,Steam turbine,Natural gas,1984,37,0.367,0.549,0.00,0,EXT,DH_DE_Rem,0.58,0.00,64
BNA0516,MiRO,264,49.06,8.32,Steam turbine,Oil(light),1995,45,0.380,0.701,0.00,0,BKP,DH_DE_Ind,0.70,,64
BNA0517,MiRO,264,49.06,8.32,Steam turbine,Oil(light),1995,25,0.380,0.701,0.00,0,EXT,DH_DE_Ind,0.55,0.15,36
BNA0518a,Rheinhafen-Dampfkraftwerk,264,49.01,8.30,Steam turbine,Hard coal,1985,505,0.438,0.777,3.37,0,EXT,DH_DE_Rem,0.60,0.15,259
BNA0518b,Rheinhafen-Dampfkraftwerk,264,49.01,8.30,Steam turbine,Hard coal,2014,842,0.460,0.739,3.20,0,EXT,DH_DE_Rem,0.60,0.15,432
BNA0519,Karnap,6,51.52,6.99,Steam turbine,Waste,1987,38,0.330,0.000,0.00,0,BKP,DH_DE_Ruhr,0.32,,119
BNA0521,Kombi-HKW,226,51.28,9.48,Steam turbine,Natural gas,1987,50,0.371,0.544,0.00,0,EXT,DH_DE_Rem,0.92,0.17,46
BNA0523,FKK,226,51.28,9.48,Steam turbine,Lignite,1988,33.5,0.371,0.979,0.00,0,BKP,DH_DE_Rem,0.38,,88
BNA0526,Gemeinschaftskraftwerk Kiel,433,54.34,10.18,Steam turbine,Hard coal,1970,323,0.405,0.840,0.61,0,EXT,DH_DE_Rem,0.43,0.15,295
BNA0527,HKW Humboldtstr.,433,54.33,10.13,Steam turbine,Natural gas,1970,31,0.352,0.573,0.00,0,BKP,DH_DE_Rem,0.42,,74
BNA0531,KW Kirchlengern,214,52.20,8.65,Combined cycle,Natural gas,1980,201.5,0.450,0.448,0.00,0,,,,,
BNA0543,HKW Merkenich,104,51.02,6.96,Steam turbine,Lignite,2010,75.3,0.424,0.857,0.00,0,EXT,DH_DE_Rem,0.60,0.15,100
BNA0544,HKW Südstadt,111,50.92,6.96,Combined cycle,Natural gas,1994,35,0.513,0.393,0.00,0,EXT,DH_DE_Rem,0.92,0.17,32
BNA0545,HKW Niehl 2,109,50.97,6.99,Combined cycle,Natural gas,2005,413,0.576,0.350,0.00,0,EXT,DH_DE_Rem,0.95,0.17,370
BNA0546,HKW Merkenich,104,51.02,6.96,Combined cycle,Natural gas,2004,108,0.558,0.362,0.00,0,EXT,DH_DE_Rem,1.18,0.17,80
BNA0547,Raffineriekraftwerk Köln Godorf,106,50.85,6.98,Combined cycle,Oil(heavy),2004,80,0.380,0.771,0.00,0,BKP,DH_DE_Ind,0.34,,235
BNA0548a,Knapsack Gas I,168,50.86,6.84,Combined cycle,Natural gas,2006,800,0.567,0.356,0.00,0,,,,,
BNA0548b,Knapsack Gas II,168,50.86,6.84,Combined cycle,Natural gas,2013,430,0.599,0.337,0.00,0,,,,,
BNA0556a,KWK-Anlage Krefeld DT,88,51.34,6.66,Steam turbine,Natural gas,2005,25.8,0.389,0.518,0.00,0,EXT,DH_DE_Ind,1.50,0.17,15
BNA0556b,KWK-Anlage Krefeld VM,8,51.34,6.66,Combustion Engine,Natural gas,1995,14,0.448,0.451,0.00,0,EXT,DH_DE_Ind,1.50,0.17,8
BNA0557a,Kraftwerk L 57,83,51.37,6.66,Steam turbine,Hard coal,1957,26,0.318,1.071,3.10,0,EXT,DH_DE_Ind,0.40,0.15,47
BNA0557b,Kraftwerk N 230,83,51.37,6.66,Steam turbine,Hard coal,1971,110,0.353,0.965,2.79,0,EXT,DH_DE_Ind,0.20,0.15,314
BNA0574a,Landesbergen Gas,386,52.55,9.11,Gas turbine,Natural gas,1973,56,0.355,0.568,0.00,0,,,,,
BNA0588,Heizkraftwerk Leipzig-Nord,345,51.35,12.38,Combined cycle,Natural gas,1996,167,0.585,0.345,0.00,0,EXT,DH_DE_Rem,0.48,0.15,200
BNA0590,TREA Leuna,143,51.30,12.02,Steam turbine,Waste,2005,16.3,0.330,0.000,0.00,0,,,,,
BNA0591,TREA Leuna,143,51.30,12.02,Steam turbine,Waste,2007,16.3,0.330,0.000,0.00,0,,,,,
BNA0592,GuD Leuna,143,51.30,12.02,Combined cycle,Natural gas,1998,52,0.531,0.380,0.00,0,BKP,DH_DE_Ind,1.25,,42
BNA0593,ILK-GuD,143,51.30,12.02,Combined cycle,Natural gas,1994,35,0.513,0.393,0.00,0,EXT,DH_DE_Ind,1.25,0.17,25
BNA0594,ILK-GuD,143,51.30,12.02,Combined cycle,Natural gas,1994,35,0.513,0.393,0.00,0,EXT,DH_DE_Ind,1.25,0.17,25
BNA0595,ILK-GuD,143,51.30,12.02,Combined cycle,Natural gas,1994,37,0.513,0.393,0.00,0,EXT,DH_DE_Ind,1.25,0.17,26
BNA0596,Raffineriekraftwerk,143,51.30,12.02,Combined cycle,Oil(heavy),1997,92.5,0.380,0.771,0.00,0,BKP,DH_DE_Ind,0.44,,208
BNA0597,ILK-GuD,143,51.30,12.02,Combined cycle,Other fuels,1994,8.7,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.36,,24
BNA0598a,ILK-EKT,373,51.80,11.76,Steam turbine,Other fuels,2000,14,0.330,0.000,0.00,0,,,,,
BNA0598b,ILK-GuD,143,51.30,12.02,Combined cycle,Other fuels,2010,20,0.330,0.000,0.00,0,,,,,
BNA0599,MHKW Leverkusen,110,51.05,7.00,Steam turbine,Waste,2011,6,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.45,,26
BNA0600a,X-Kraftwerk,110,51.01,6.99,Steam turbine,Natural gas,1981,27,0.364,0.554,0.00,0,BKP,DH_DE_Ind,0.50,,54
BNA0600b,G-Kraftwerk,83,51.37,6.65,Steam turbine,Hard coal,1962,103,0.330,1.031,2.98,0,EXT,DH_DE_Ind,0.43,0.15,178
BNA0602,Emsland,392,52.48,7.31,Combined cycle,Natural gas,2011,116,0.590,0.342,0.00,0,,,,,
BNA0603,Emsland,392,52.48,7.31,Combined cycle,Natural gas,2011,116,0.590,0.342,0.00,0,,,,,
BNA0604,Emsland,392,52.48,7.31,Combined cycle,Natural gas,1973,359,0.419,0.482,0.00,0,,,,,
BNA0605,Emsland,392,52.48,7.31,Combined cycle,Natural gas,1974,359,0.423,0.477,0.00,0,,,,,
BNA0606,Emsland,392,52.48,7.31,Combined cycle,Natural gas,2010,887,0.585,0.345,0.00,0,,0,,,
BNA0607,Kernkraftwerk Emsland,392,52.48,7.31,Steam turbine,Nuclear,1988,1336,0.330,0.000,0.00,0,,,,,
BNA0614a,KW Mitte,250,49.51,8.43,Gas turbine,Natural gas,1992,43,0.359,0.562,0.00,0,BKP,DH_DE_Ind,0.65,,66
BNA0614b,Kraftwerk Mitte,250,49.51,8.43,Combined cycle,Natural gas,2005,490,0.563,0.359,0.00,0,BKP,DH_DE_Ind,0.91,,540
BNA0615,Kraftwerk Süd,250,49.51,8.43,Combined cycle,Natural gas,1997,390,0.527,0.383,0.00,0,BKP,DH_DE_Ind,0.93,,420
BNA0616a,Kläranlage,131,48.55,8.41,Steam turbine,Waste,1992,12,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.34,,35
BNA0616b,Kraftwerk Nord,252,48.55,8.41,Combined cycle,Other fuels,1964,56,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.20,0.15,160
BNA0618,KW Lünen,91,51.61,7.48,Steam turbine,Hard coal,1962,149,0.415,0.820,2.37,0,,,,,
BNA0619,KW Lünen,91,51.61,7.48,Steam turbine,Hard coal,1969,324,0.418,0.815,2.35,0,EXT,DH_DE_Ind,0.40,0.15,589
BNA0622,MHKW Rothensee,375,52.19,11.68,Steam turbine,Waste,2005,29.2,0.330,0.000,0.00,0,BKP,DH_DE_Rem,0.45,,65
BNA0623,MHKW Rothensee,375,52.19,11.68,Steam turbine,Waste,2006,29.2,0.330,0.000,0.00,0,BKP,DH_DE_Rem,0.45,,65
BNA0626,Kraftwerk Mainz,200,50.03,8.24,Combined cycle,Natural gas,2001,434.2,0.545,0.371,0.00,0,EXT,DH_DE_Rem,1.50,0.17,220
BNA0627,Kraftwerk Mainz,200,50.03,8.24,Combined cycle,Natural gas,1977,335,0.437,0.462,0.00,0,EXT,DH_DE_Rem,0.42,0.15,172
BNA0640,HKW Mannheim,250,49.52,8.45,Steam turbine,Waste,2005,8.7,0.330,0.000,0.00,0,,,,,
BNA0641a,HKW Mannheim,250,49.52,8.45,Steam turbine,Waste,2009,22.1,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.45,0.15,37
BNA0641b,HKW Mannheim,250,49.52,8.45,Steam turbine,Waste,2012,8.1,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.45,0.15,14
BNA0641c,HKW Mannheim,250,49.52,8.45,Steam turbine,Waste,2012,5.8,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.45,0.15,10
BNA0643,GKM ,252,49.45,8.49,Steam turbine,Hard coal,1970,202.5,0.350,0.972,4.21,0,,,,,
BNA0644,GKM ,252,49.45,8.49,Steam turbine,Hard coal,2005,255,0.438,0.777,3.37,0,EXT,DH_DE_Mannheim,0.60,0.15,204
BNA0645,GKM ,34,49.45,8.49,Steam turbine,Hard coal,1982,425,0.380,0.895,3.88,0,EXT,DH_DE_Mannheim,0.48,0.15,250
BNA0646a,GKM ,252,49.45,8.49,Steam turbine,Hard coal,1993,435,0.408,0.835,3.62,0,EXT,DH_DE_Mannheim,0.52,0.15,121
BNA0646b,GKM ,34,49.45,8.49,Steam turbine,Hard coal,2015,843,0.463,0.735,3.19,0,EXT,DH_DE_Mannheim,0.52,0.15,121
BNA0647,Dampfkraftwerk Marbach am Neckar,270,48.93,9.23,Gas turbine,Oil(light),1971,77.4,0.305,0.873,0.00,0,,,,,
BNA0648,Dampfkraftwerk Marbach am Neckar,270,48.93,9.23,Combined cycle,Oil(light),1975,85,0.380,0.700,0.00,0,,,,,
BNA0649,Dampfkraftwerk Marbach am Neckar,270,48.93,9.23,Combined cycle,Oil(light),1975,262,0.380,0.700,0.00,0,,,,,
BNA0658,Kraftwerk III,148,51.68,7.10,Combined cycle,Natural gas,1973,61.1,0.554,0.365,0.00,0,EXT,DH_DE_Ind,0.50,0.00,122
BNA0659,Kraftwerk III,148,51.68,7.10,Combined cycle,Natural gas,1974,77.6,0.554,0.365,0.00,0,EXT,DH_DE_Ind,0.50,0.00,155
BNA0660,Kraftwerk I  ,148,51.68,7.10,Steam turbine,Hard coal,1971,55.3,0.353,0.965,2.79,0,EXT,DH_DE_Ind,0.20,0.15,158
BNA0661,Kraftwerk II,148,51.68,7.10,Steam turbine,Hard coal,1966,60.4,0.340,1.000,2.89,0,EXT,DH_DE_Ind,0.40,0.15,110
BNA0662a,Kraftwerk I ,148,51.68,7.10,Steam turbine,Hard coal,1983,60.2,0.383,0.889,2.57,0,BKP,DH_DE_Ind,0.52,,116
BNA0662b,Kraftwerk I,148,51.68,7.10,Steam turbine,Hard coal,1939,120,0.273,1.248,3.61,0,EXT,DH_DE_Ind,0.40,0.15,218
BNA0680,Mumsdorf,341,51.07,12.26,Steam turbine,Lignite,1968,60,0.323,1.124,0.00,0,,,,,
BNA0681,Freimann GT 1,308,48.19,11.59,Gas turbine,Natural gas,1975,78.6,0.315,0.641,0.00,0,EXT,DH_DE_Muenchen,0.30,0.00,260
BNA0682,Freimann GT 2,308,48.19,11.59,Gas turbine,Natural gas,1975,78.6,0.315,0.641,0.00,0,,,,,
BNA0683a,Süd DT1,308,48.14,11.58,Combined cycle,Natural gas,1980,79.7,0.450,0.448,0.00,0,EXT,DH_DE_Muenchen,0.28,0.17,177
BNA0683b,Süd GT3,308,48.14,11.58,Combined cycle,Natural gas,1980,97.9,0.450,0.448,0.00,0,EXT,DH_DE_Muenchen,0.38,0.17,177
BNA0683c,Süd GT2,308,48.14,11.58,Combined cycle,Natural gas,1980,97.9,0.450,0.448,0.00,0,EXT,DH_DE_Muenchen,0.36,0.17,184
BNA0684a,Süd GT 61,308,48.14,11.58,Combined cycle,Natural gas,2004,124.9,0.558,0.362,0.00,0,EXT,DH_DE_Muenchen,0.51,0.17,184
BNA0684b,Süd GT 62,308,48.14,11.58,Combined cycle,Natural gas,2004,123.9,0.558,0.362,0.00,0,EXT,DH_DE_Muenchen,0.95,0.17,110
BNA0684c,Süd DT60,308,48.14,11.58,Combined cycle,Natural gas,2004,127.6,0.558,0.362,0.00,0,EXT,DH_DE_Muenchen,0.53,0.17,181
BNA0685,Heizkraftwerk Hafen,35,51.95,7.64,Combined cycle,Natural gas,2005,100.2,0.563,0.359,0.00,0,EXT,DH_DE_Rem,0.67,0.17,120
BNA0686,Gemeinschaftskernkraftwerk Neckarwestheim II,257,49.04,9.18,Steam turbine,Nuclear,1989,1310,0.330,0.000,0.00,0,,,,,
BNA0688,GuD-HKW Neubrandenburg,137,53.57,13.30,Combined cycle,Natural gas,1997,75,0.527,0.383,0.00,0,BKP,DH_DE_Rem,1.25,,60
BNA0693,Heizkraftwerk NMS,434,54.08,10.15,Steam turbine,Other fuels,2014,53.6,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.34,0.15,109
BNA0696,Neurath,164,51.04,6.62,Steam turbine,Lignite,1972,277,0.333,1.092,0.00,0,,,,,
BNA0697,Neurath,164,51.04,6.62,Steam turbine,Lignite,1972,288,0.333,1.092,0.00,0,,,,,
BNA0698,Neurath,164,51.04,6.62,Steam turbine,Lignite,1973,292,0.335,1.084,0.00,0,,,,,
BNA0699,Neurath,164,51.04,6.62,Steam turbine,Lignite,1975,607,0.340,1.069,0.00,0,,0,,,
BNA0700,Neurath,164,51.04,6.62,Steam turbine,Lignite,1976,604,0.342,1.061,0.00,0,,0,,,
BNA0702,Cogeneration,314,48.79,11.76,Steam turbine,Natural gas,1996,25.4,0.381,0.530,0.00,0,EXT,DH_DE_Ind,0.65,0.00,39
BNA0705,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,1968,297,0.323,1.124,0.00,0,,,,,
BNA0706,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,1971,299,0.330,1.100,0.00,0,,,,,
BNA0707,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,1974,648,0.422,0.862,0.00,0,,,,,
BNA0708,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,1974,653,0.419,0.867,0.00,0,EXT,DH_DE_Rem,0.35,0.15,335
BNA0709,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,2002,944,0.405,0.897,0.00,0,,,,,
BNA0712,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,1965,294,0.316,1.150,0.00,0,,,,,
BNA0713,Niederaußem,165,51.00,6.67,Steam turbine,Lignite,1970,295,0.328,1.108,0.00,0,,,,,
BNA0714,Fortuna Nord,165,50.95,6.66,Steam turbine,Lignite,1984,15,0.362,1.005,0.00,0,BKP,DH_DE_Ind,0.38,,39
BNA0734,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1989,37.5,0.351,0.574,0.00,0,,,,,
BNA0735,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1989,37.5,0.351,0.574,0.00,0,,,,,
BNA0736,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1989,37.5,0.351,0.574,0.00,0,,,,,
BNA0737,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1989,37.5,0.351,0.574,0.00,0,,,,,
BNA0738,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1987,36.5,0.346,0.583,0.00,0,,,,,
BNA0739,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1987,36.5,0.346,0.583,0.00,0,,,,,
BNA0740,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1987,36.5,0.346,0.583,0.00,0,,,,,
BNA0741,Thyrow,365,52.23,13.30,Gas turbine,Natural gas,1987,36.5,0.346,0.583,0.00,0,,,,,
BNA0742,HKW Sandreuth,324,49.44,11.06,Combined cycle,Natural gas,2005,75,0.563,0.359,0.00,0,EXT,DH_DE_Nuernberg,0.30,0.17,160
BNA0743,HKW Sandreuth,324,49.44,11.06,Combined cycle,Natural gas,2005,75,0.563,0.359,0.00,0,EXT,DH_DE_Nuernberg,0.30,0.17,160
BNA0744,Franken 1,324,49.42,11.01,Combined cycle,Natural gas,1973,383,0.419,0.482,0.00,0,,,,,
BNA0745,Franken 1,324,49.42,11.01,Combined cycle,Natural gas,1976,440,0.432,0.467,0.00,0,,,,,
BNA0746,HKW Sandreuth,324,49.44,11.06,Combined cycle,Waste,1996,18,0.330,0.000,0.00,0,EXT,DH_DE_Nuernberg,0.20,0.15,51
BNA0750,GMVA Niederrhein,96,51.49,6.83,Steam turbine,Waste,1990,40.4,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.34,,119
BNA0751,GMVA Niederrhein,96,51.49,6.83,Steam turbine,Waste,2006,21.1,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.45,,47
BNA0752,HKW 1,84,51.47,6.86,Steam turbine,Natural gas,1972,23.1,0.354,0.570,0.00,0,EXT,DH_DE_Rem,0.39,0.15,43
BNA0753,HKW 2,84,51.47,6.86,Steam turbine,Natural gas,1995,24.5,0.380,0.532,0.00,0,BKP,DH_DE_Rem,0.65,,38
BNA0755a,Obernburg,128,49.83,9.15,Combined cycle,Natural gas,1920,36,0.180,1.121,0.00,0,EXT,DH_DE_Ind,0.39,0.15,67
BNA0755b,Obernburg,128,49.83,9.15,Combined cycle,Natural gas,1995,64,0.518,0.390,0.00,0,BKP,DH_DE_Ind,0.65,,98
BNA0758,Heizkraftwerk Offenbach,72,50.07,8.77,Steam turbine,Hard coal,1990,54,0.400,0.850,3.07,0,EXT,DH_DE_Rem,0.48,0.15,36
BNA0759,Itzehoe,431,53.97,9.45,Steam turbine,Oil(light),1972,88,0.354,0.751,0.00,0,,,,,
BNA0766,Audorf,436,54.29,9.72,Steam turbine,Oil(light),1973,87,0.355,0.749,0.00,0,,,,,
BNA0785,KW Jänschwalde,357,51.83,14.46,Steam turbine,Lignite,1981,465,0.390,0.931,0.00,0,EXT,DH_DE_Rem,0.45,0.15,388
BNA0786,KW Jänschwalde,357,51.83,14.46,Steam turbine,Lignite,1982,465,0.390,0.931,0.00,0,,0,,,
BNA0787,KW Jänschwalde,357,51.83,14.46,Steam turbine,Lignite,1984,465,0.390,0.931,0.00,0,,0,,,
BNA0788,KW Jänschwalde,357,51.83,14.46,Steam turbine,Lignite,1985,465,0.390,0.931,0.00,0,,,,,
BNA0789,KW Jänschwalde,357,51.83,14.46,Steam turbine,Lignite,1987,465,0.390,0.931,0.00,0,,0,,,
BNA0790,KW Jänschwalde,357,51.83,14.46,Steam turbine,Lignite,1989,465,0.390,0.931,0.00,0,,0,,,
BNA0793,Heyden,60,52.38,9.00,Steam turbine,Hard coal,1987,875,0.393,0.866,1.25,0,,,,,
BNA0799,Heizkraftwerk Pforzheim GmbH,265,48.88,8.67,Steam turbine,Natural gas,1969,11.3,0.351,0.575,0.00,0,BKP,DH_DE_Rem,0.39,,29
BNA0800,Heizkraftwerk Pforzheim GmbH,265,48.88,8.67,Combined cycle,Natural gas,1980,41.2,0.450,0.448,0.00,0,EXT,DH_DE_Rem,0.50,0.00,82
BNA0801,Heizkraftwerk Pforzheim GmbH,265,48.88,8.67,Steam turbine,Hard coal,1990,26.9,0.400,0.850,3.69,0,EXT,DH_DE_Rem,0.52,0.15,40
BNA0802,Kernkraftwerk Philippsburg 2,261,49.25,8.44,Steam turbine,Nuclear,1985,1402,0.330,0.000,0.00,0,,,,,
BNA0804a,Hattorf,180,50.81,9.98,Steam turbine,Natural gas,1962,35,0.343,0.588,0.00,0,,,,,
BNA0804b,Hattorf,180,50.84,9.98,Steam turbine,Natural gas,2013,17.3,0.399,0.505,0.00,0,EXT,DH_DE_Ind,0.55,0.15,25
BNA0805,Kraftwerk Plattling,129,48.79,12.88,Combined cycle,Natural gas,2010,97.9,0.585,0.345,0.00,0,BKP,DH_DE_Ind,0.65,,150
BNA0810,Kraftwerk Veltheim,203,52.19,8.93,Gas turbine,Natural gas,1974,65,0.312,0.646,0.00,0,,,,,
BNA0813,Kraftwerk Veltheim,203,52.19,8.93,Steam turbine,Hard coal,1970,303,0.350,0.972,1.40,0,,,,,
BNA0814,HKW Potsdam-Süd,371,52.37,13.11,Steam turbine,Natural gas,1996,81.8,0.381,0.530,0.00,0,BKP,DH_DE_Rem,1.25,,65
BNA0820,Weiher,238,49.33,7.03,Steam turbine,Hard coal,1976,655.6,0.365,0.932,4.04,0,,0,,,
BNA0832,BHKW-Hauffstraße,277,48.49,9.19,Combustion Engine,Natural gas,2011,9.8,0.457,0.441,0.00,0,BKP,DH_DE_Ind,0.70,,14
BNA0834,Solvay Kraftwerk Rheinberg,95,51.56,6.58,Gas turbine,Natural gas,1975,79,0.315,0.641,0.00,0,EXT,DH_DE_Ind,0.60,0.15,105
BNA0842a,Gasmotore,305,47.86,12.13,Combustion Engine,Natural gas,2011,9.8,0.457,0.441,0.00,0,EXT,DH_DE_Rem,0.70,0.00,14
BNA0842b,Gasmotor 4,305,47.86,12.13,Combustion Engine,Natural gas,2013,9.2,0.460,0.439,0.00,0,EXT,DH_DE_Rem,0.70,0.00,13
BNA0843,Gasmotor 5,305,47.86,12.13,Combustion Engine,Natural gas,2012,4.3,0.459,0.440,0.00,0,EXT,DH_DE_Rem,0.70,0.00,6
BNA0845,"MHKW, WKW",305,47.86,12.13,Steam turbine,Waste,1988,9,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.34,0.15,18
BNA0848,GuD Marienehe,422,54.13,12.08,Combined cycle,Natural gas,1996,108,0.522,0.387,0.00,0,BKP,DH_DE_Rem,0.90,,120
BNA0849,KNG Kraftwerk Rostock,422,54.14,12.13,Steam turbine,Hard coal,1994,514,0.410,0.830,1.20,0,,,,,
BNA0855,IKW Rüdersdorf,362,52.49,13.83,Steam turbine,Waste,2009,30,0.330,0.000,0.00,0,BKP,DH_DE_Rem,0.45,,67
BNA0856,HKW Schwarza,331,50.69,11.33,Steam turbine,Natural gas,1936,26.5,0.394,0.512,0.00,0,,,,,
BNA0857,GuD-Anlage Rüsselsheim,200,49.99,8.41,Combined cycle,Natural gas,1999,112.1,0.536,0.377,0.00,0,EXT,DH_DE_Ind,1.10,0.17,88
BNA0861a,HKW Römerbrücke,238,49.22,7.01,Combined cycle,Natural gas,2012,75,0.594,0.340,0.00,0,EXT,DH_DE_Rem,0.47,0.17,117
BNA0861b,HKW Römerbrücke,238,49.22,7.01,Steam turbine,Hard coal,1988,50,0.438,0.777,3.37,0,EXT,DH_DE_Rem,0.28,0.15,117
BNA0863,Kraftwerk Salzgitter,377,52.16,10.40,Steam turbine,Other fuels,1939,94.5,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.28,0.15,220
BNA0864,Kraftwerk Salzgitter,377,52.16,10.40,Steam turbine,Other fuels,2010,97,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.45,0.15,162
BNA0865b,Kraftwerk Salzgitter,377,52.16,10.40,Steam turbine,Other fuels,2010,97,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.45,0.15,162
BNA0878,Schkopau,143,51.40,11.95,Steam turbine,Lignite,1996,450,0.390,0.931,0.00,0,,0,,,
BNA0879,Schkopau,143,51.40,11.95,Steam turbine,Lignite,1996,450,0.390,0.931,0.00,0,EXT,DH_DE_Rem,0.38,0.15,231
BNA0893,GuD Schwarzheide,358,51.48,13.89,Combined cycle,Natural gas,1994,122,0.513,0.393,0.00,0,EXT,DH_DE_Ind,0.41,0.17,209
BNA0894a,IKS PCK Schwedt,360,53.10,14.23,Steam turbine,Oil(heavy),1972,28,0.354,0.827,0.00,0,BKP,DH_DE_Ind,0.39,,72
BNA0894b,IKS PCK Schwedt,360,53.10,14.23,Steam turbine,Oil(heavy),1994,34.5,0.378,0.774,0.00,0,,,,,
BNA0894c,IKS PCK Schwedt,360,53.10,14.23,Steam turbine,Oil(heavy),1997,106,0.383,0.765,0.00,0,BKP,DH_DE_Ind,1.00,,106
BNA0894d,IKS PCK Schwedt,360,53.10,14.23,Steam turbine,Oil(heavy),1998,106,0.383,0.765,0.00,0,BKP,DH_DE_Ind,1.00,,106
BNA0894e,IKS PCK Schwedt,360,53.10,14.23,Steam turbine,Oil(heavy),2011,59,0.397,0.738,0.00,0,,,,,
BNA0895,GKS,230,50.03,10.22,Steam turbine,Waste,1994,24.4,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.34,0.15,50
BNA0896,HKW Schwerin Süd,416,53.58,11.40,Steam turbine,Natural gas,1994,44.9,0.378,0.533,0.00,0,BKP,DH_DE_Rem,1.25,,36
BNA0897,HKW Schwerin Lankow,416,53.65,11.37,Steam turbine,Natural gas,1994,23,0.378,0.533,0.00,0,,,,,
BNA0914,Schwarze Pumpe,355,51.53,14.35,Steam turbine,Lignite,1997,750,0.393,0.925,0.00,0,EXT,DH_DE_Rem,0.48,0.15,385
BNA0915,Schwarze Pumpe,355,51.53,14.35,Steam turbine,Lignite,1998,750,0.395,0.919,0.00,0,,0,,,
